OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD
1,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3865738153,301502_W,3,696,30,48,2,AM,887,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,50,,110,-77.55204,39.06954
2,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3815338657,301502_E,3,1502,49,64,2,AM,1919,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,66,,300,-77.55198251,39.06934723
3,1701,ROCHAMBEAU BRG SW between INTERSTATE 395 VA and INTERSTATE 395  DC,District of Columbia,2139030364,1701_S,45,16784,177,483,112,AM,18972,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,595,P,1370,-77.03587523,38.87924438
4,1202,INTERSTATE 66 ON ROSSEVELT MEMORIAL BRG,District of Columbia,2027220001,1202_W,51,5272,50,67,75,AM,5830,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,142,P,315,-77.05959412,38.89232808
5,3902,FRANCIS SCOTT KEY BRG NW between M ST NW and WATER ST NW,District of Columbia,2060130365,3902_S,54,2981,23,138,478,AM,4257,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,616,P,583,-77.06973467,38.90264889
6,2204A,SOUTH CAPITOL ST between I ST SW and K ST SW,District of Columbia,2128321282,2204A_S,31,2690,6,35,6,AM,2851,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,41,P,83,-77.00908372,38.87314301
7,1403,INTERSTATE 695 – 11th Street Bridge,District of Columbia,2185120965,1403_S,6,3558,103,199,24,AM,4619,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,223,P,729,-76.98951707,38.87188215
8,6002,EAST CAPITOL ST between C ST /INDEPENDENCE AVE and Ramps to Anacostia Freeway,District of Columbia,2097321179,6002_W,7,5564,21,142,396,AM,7102,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,538,P,972,-76.96471654,38.88979571
9,7069,RHODE ISLAND AVE NE between NEWTON ST NE and OTIS ST NE,District of Columbia,2117221155,7069_E,38,869,5,8,4,AM,932,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,12,P,8,-76.9638887,38.93499101
10,7032,NEW HAMPSHIRE AVE NE between BLAIR RD NE and MADISON ST NE,District of Columbia,2093420933,7032_S,10,3011,34,111,5,AM,3664,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,116,P,493,-77.00588984,38.96111769
