OBJECTID_1,Join_Count,nearest_metro_distance,TARGET_FID,OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD,X,Y,OBJECTID_12,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
1,1,0.244472388069056,1,1,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3865738153.000000000000000,301502_W,3,696,30,48,2,AM,887,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,50,,110,-77.552040000000005,39.069540000000003,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
2,1,0.244326544910975,2,2,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3815338657.000000000000000,301502_E,3,1502,49,64,2,AM,1919,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,66,,300,-77.551982510000002,39.069347229999998,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
3,1,0.011478165007390,3,3,1701,ROCHAMBEAU BRG SW between INTERSTATE 395 VA and INTERSTATE 395  DC,District of Columbia,2139030364.000000000000000,1701_S,45,16784,177,483,112,AM,18972,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,595,P,1370,-77.035875230000002,38.879244380000003,-77.028388727437431,38.887944986028579,54,Smithsonian,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,,8070,https://www.wmata.com/rider-guide/stations/smithsonian.cfm?y=35
4,1,0.008530461572820,4,4,1202,INTERSTATE 66 ON ROSSEVELT MEMORIAL BRG,District of Columbia,2027220001.000000000000000,1202_W,51,5272,50,67,75,AM,5830,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,142,P,315,-77.059594120000000,38.892328079999999,-77.063100300211261,38.884551482255603,23,Arlington Cemetery,Virginia,Arlington County,Blue,1977,,8056,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm?y=35
5,1,0.006764569061338,5,5,3902,FRANCIS SCOTT KEY BRG NW between M ST NW and WATER ST NW,District of Columbia,2060130365.000000000000000,3902_S,54,2981,23,138,478,AM,4257,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,616,P,583,-77.069734670000003,38.902648890000002,-77.070943519653767,38.895993210147893,22,Rosslyn,Virginia,Arlington County,"Blue, Orange, Silver",1977,,8065,https://www.wmata.com/rider-guide/stations/rosslyn.cfm?y=35
6,1,0.005176289001822,6,6,2204A,SOUTH CAPITOL ST between I ST SW and K ST SW,District of Columbia,2128321282.000000000000000,2204A_S,31,2690,6,35,6,AM,2851,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,41,P,83,-77.009083720000007,38.873143010000000,-77.005090133537692,38.876436220973126,27,Navy Yard-Ballpark,District of Columbia,District of Columbia,Green,1991,,8039,https://www.wmata.com/rider-guide/stations/navy-yard.cfm?y=35
7,1,0.010291272285728,7,7,1403,INTERSTATE 695 – 11th Street Bridge,District of Columbia,2185120965.000000000000000,1403_S,6,3558,103,199,24,AM,4619,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,223,P,729,-76.989517070000005,38.871882149999998,-76.985499800906979,38.881356950035951,80,Potomac Ave,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,,8074,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm?y=35
8,1,0.012836097584635,8,8,6002,EAST CAPITOL ST between C ST /INDEPENDENCE AVE and Ramps to Anacostia Freeway,District of Columbia,2097321179.000000000000000,6002_W,7,5564,21,142,396,AM,7102,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,538,P,972,-76.964716539999998,38.889795710000001,-76.977179641776530,38.886723823451725,81,Stadium-Armory,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,Y,8075,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm?y=35
9,1,0.020897749705619,9,9,7069,RHODE ISLAND AVE NE between NEWTON ST NE and OTIS ST NE,District of Columbia,2117221155.000000000000000,7069_E,38,869,5,8,4,AM,932,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,12,P,8,-76.963888699999998,38.934991009999997,-76.969634527745896,38.955083332010695,13,West Hyattsville,Maryland,Prince George's County,"Green, Yellow",1993,Y,8030,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm?y=35
10,1,0.009938973124422,10,10,7032,NEW HAMPSHIRE AVE NE between BLAIR RD NE and MADISON ST NE,District of Columbia,2093420933.000000000000000,7032_S,10,3011,34,111,5,AM,3664,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,116,P,493,-77.005889839999995,38.961117690000002,-77.002261885616022,38.951864520792718,11,Fort Totten,District of Columbia,District of Columbia,"Red, Green,Yellow",1978,Y,8021,https://www.wmata.com/rider-guide/stations/fort-totten.cfm?y=35
