X,Y,OBJECTID,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
-76.928255534076683,38.97871962957047,1,College Park-U of MD,Maryland,Prince George's County,"Green, Yellow",1993,Y,8028,https://www.wmata.com/rider-guide/stations/college-park.cfm?y=35
-76.91181262520351,38.889481433647134,2,Capitol Heights,Maryland,Prince George's County,"Blue, Orange, Silver",1980,Y,8082,https://www.wmata.com/rider-guide/stations/capitol-hghts.cfm?y=35
-76.868079251597052,38.893850510123173,3,Morgan Boulevard,Maryland,Prince George's County,"Blue, Orange, Silver",2004,Y,8085,https://www.wmata.com/rider-guide/stations/morgan-blvd.cfm?y=35
-77.024096319437405,38.936730427764822,4,Georgia Ave-Petworth,District of Columbia,District of Columbia,"Green, Yellow",1999, ,8031,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm?y=35
-77.018226683704611,38.97606859536787,5,Takoma,District of Columbia,District of Columbia,Red,1978, ,8022,https://www.wmata.com/rider-guide/stations/takoma.cfm?y=35
-77.053636700500192,39.061773403854914,6,Glenmont,Maryland,Montgomery County,Red,1998,Y,8026,https://www.wmata.com/rider-guide/stations/glenmont.cfm?y=35
-77.050592614048838,39.038578378176105,7,Wheaton,Maryland,Montgomery County,Red,1990,Y,8025,https://www.wmata.com/rider-guide/stations/wheaton.cfm?y=35
-77.043344570622324,39.015490744532457,8,Forest Glen,Maryland,Montgomery County,Red,1990,Y,8024,https://www.wmata.com/rider-guide/stations/forest-glen.cfm?y=35
-77.031455640609295,38.99385202592017,9,Silver Spring,Maryland,Montgomery County,Red,1978,Y,8023,https://www.wmata.com/rider-guide/stations/silver-spring.cfm?y=35
-76.99461839008427,38.933206550435926,10,Brookland-CUA,District of Columbia,District of Columbia,Red,1978, ,8020,https://www.wmata.com/rider-guide/stations/brookland.cfm?y=35
-77.002261885616022,38.951864520792718,11,Fort Totten,District of Columbia,District of Columbia,"Red, Green,Yellow",1978,Y,8021,https://www.wmata.com/rider-guide/stations/fort-totten.cfm?y=35
-76.955886435321574,38.965320852148359,12,Prince George's Plaza,Maryland,Prince George's County,"Green, Yellow",1993,Y,8029,https://www.wmata.com/rider-guide/stations/prince-georges-plz.cfm?y=35
-76.969634527745896,38.955083332010695,13,West Hyattsville,Maryland,Prince George's County,"Green, Yellow",1993,Y,8030,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm?y=35
-76.938369395880756,38.890991251583365,14,Benning Road,District of Columbia,District of Columbia,"Blue, Orange, Silver",1980, ,8081,https://www.wmata.com/rider-guide/stations/benning-rd.cfm?y=35
-76.894112409533477,38.886763394058143,15,Addison Road-Seat Pleasant,Maryland,Prince George's County,"Blue, Orange, Silver",1980,Y,8083,https://www.wmata.com/rider-guide/stations/addison-rd.cfm?y=35
-76.935275055551841,38.908211736096206,16,Deanwood,District of Columbia,District of Columbia,Orange,1978,Y,8077,https://www.wmata.com/rider-guide/stations/deanwood.cfm?y=35
-76.872070929990301,38.947946585073552,17,New Carrollton,Maryland,Prince George's County,Orange,1978,Y,8080,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm?y=35
-76.891252273084888,38.933595491583119,18,Landover,Maryland,Prince George's County,Orange,1978,Y,8079,https://www.wmata.com/rider-guide/stations/landover.cfm?y=35
-76.916641910649275,38.916676199689199,19,Cheverly,Maryland,Prince George's County,Orange,1978,Y,8078,https://www.wmata.com/rider-guide/stations/cheverly.cfm?y=35
-76.844556104162351,38.900615306138342,20,Largo Town Center,Maryland,Prince George's County,"Blue, Orange, Silver",2004,Y,8086,https://www.wmata.com/rider-guide/stations/largo-town-ctr.cfm?y=35
-77.002937022333953,38.907341987510442,21,NoMa-Gallaudet,District of Columbia,District of Columbia,Red,2004, ,8098,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm?y=35
-77.070943519653767,38.895993210147893,22,Rosslyn,Virginia,Arlington County,"Blue, Orange, Silver",1977, ,8065,https://www.wmata.com/rider-guide/stations/rosslyn.cfm?y=35
-77.063100300211261,38.884551482255603,23,Arlington Cemetery,Virginia,Arlington County,Blue,1977, ,8056,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm?y=35
-77.043400185749491,38.909624550603723,24,Dupont Circle,District of Columbia,District of Columbia,Red,1977, ,8013,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm?y=35
-77.053787009608484,38.869566352818936,25,Pentagon,Virginia,Arlington County,"Blue, Yellow",1977, ,8055,https://www.wmata.com/rider-guide/stations/pentagon.cfm?y=35
-77.05028425200949,38.857846520077153,26,Crystal City,Virginia,Arlington County,"Blue, Yellow",1977, ,8053,https://www.wmata.com/rider-guide/stations/crystal-city.cfm?y=35
-77.005090133537692,38.876436220973126,27,Navy Yard-Ballpark,District of Columbia,District of Columbia,Green,1991, ,8039,https://www.wmata.com/rider-guide/stations/navy-yard.cfm?y=35
